noise,views,mse,psnr,ssim,detec_fijo
55600.0,576,0.012139689599083233,19.15792417637099,0.5884537252604185,512
55600.0,600,0.012140892748444829,19.157493773902388,0.5885028145782766,512
66700.0,30,0.012252074233849835,19.11790380519261,0.5450547026207818,512
66700.0,53,0.012170145761978234,19.147042201886922,0.5752949597400389,512
66700.0,77,0.012158199592670395,19.151307313838956,0.5834042222614854,512
66700.0,101,0.012145900983833953,19.155702636670874,0.5860143576441709,512
66700.0,125,0.012144796486036497,19.156097583995574,0.5870751825297846,512
66700.0,148,0.012139616445986899,19.15795034679449,0.5876411785723188,512
66700.0,172,0.01213425642803691,19.159868315359702,0.5879772854772144,512
66700.0,196,0.012140753593184787,19.15754355171458,0.5881338687453485,512
66700.0,220,0.012140471028018561,19.157644631041826,0.5881872655501189,512
66700.0,243,0.012140257857846738,19.157720887920085,0.5882775974561623,512
66700.0,267,0.012141783611593942,19.157175113023143,0.5884972242413697,512
66700.0,291,0.012142035549219892,19.15708499942115,0.5884708524840524,512
66700.0,315,0.012141894556236666,19.157135429869875,0.5885592108694373,512
66700.0,338,0.012142560673968456,19.15689717766076,0.5885444024698683,512
66700.0,362,0.012139630673218653,19.157945257008787,0.5885722424121842,512
66700.0,386,0.012143931131149505,19.156407043476854,0.5885293401160814,512
66700.0,410,0.012140192925658455,19.157744116229413,0.5885973437020671,512
66700.0,433,0.012141810643745869,19.15716544401427,0.5886105355980243,512
66700.0,457,0.012142056381053902,19.157077548328818,0.5885701410839258,512
66700.0,481,0.012140655986405199,19.157578467385875,0.5885949546225159,512
66700.0,505,0.012141737271423769,19.157191688280328,0.5885870478234346,512
66700.0,528,0.01214196049721603,19.157111843990776,0.5886025071984844,512
66700.0,552,0.012141553073015593,19.157257574205268,0.5885995829762555,512
66700.0,576,0.012143075695014433,19.15671297758878,0.5886700839727751,512
66700.0,600,0.012142118779608826,19.15705522980418,0.5886437650441606,512
77800.0,30,0.01224652694645929,19.119870575725095,0.5449491219475544,512
77800.0,53,0.012177339315793753,19.1444759238436,0.5756585830758748,512
77800.0,77,0.012154703876379952,19.1525561735711,0.58347540533855,512
77800.0,101,0.012142871769125036,19.156785911855494,0.5863686180324438,512
77800.0,125,0.01214644223009089,19.155509110455057,0.5872268291825766,512
77800.0,148,0.012142949881895513,19.156757974612376,0.5878387742047809,512
77800.0,172,0.012142902965289526,19.156774754441535,0.5881244899217387,512
77800.0,196,0.01214042346147216,19.15766164679768,0.5882071707324099,512
77800.0,220,0.01214011362897468,19.15777248334423,0.5884728498699741,512
77800.0,243,0.012140842983836365,19.15751157534384,0.5885746801591806,512
77800.0,267,0.012143387060180432,19.156601619936723,0.588499738641983,512
77800.0,291,0.012144446311559184,19.156222807201978,0.588559657728938,512
77800.0,315,0.012138966357307216,19.15818292208827,0.588679355068035,512
77800.0,338,0.012139980229345756,19.157820205336634,0.5885873692434784,512
77800.0,362,0.012142572287424698,19.156893023959014,0.5886179267136312,512
77800.0,386,0.012139405292055453,19.15802588771887,0.5886761359945555,512
77800.0,410,0.012142280486496014,19.156997391512178,0.5887237914526995,512
77800.0,433,0.012141934917021436,19.157120993542087,0.5886933201302024,512
77800.0,457,0.012139985229313985,19.157818416653193,0.5887019422699774,512
77800.0,481,0.012138702137142599,19.158277452878597,0.5887634038013164,512
77800.0,505,0.012142398514571417,19.15695517646634,0.5887277536029047,512
